temp_amb;cara_1;cara_2;Corriente;tiempo
25,51;67,91;62,2;0;345292
25,52;67,65;62,19;0;345312
25,52;67,36;62,17;0;345128
25,52;67,24;62,17;0;345176
25,52;67,24;62,15;0;345104
25,52;67,19;62,11;0;345124
25,52;67,19;62,08;0;345128
25,51;67,16;62,05;0;345128
25,51;67,11;61,98;0;344968
25,5;66,96;61,97;0;344956
25,49;66,99;61,95;0;344960
25,48;66,79;61,92;0;344800
25,48;66,6;61,89;0;344792
25,46;66,44;61,83;0;344960
25,46;66,29;61,79;0;344824
25,45;66,25;61,79;0;344944
25,45;66,13;61,73;0;344828
25,44;66,01;61,7;0;344764
25,43;65,91;61,67;0;344788
25,43;65,83;61,63;0;344780
25,43;65,72;61,59;0;344812
25,43;65,63;61,56;0;344772
25,42;65,61;61,52;0;344796
25,41;65,58;61,49;0;344764
25,4;65,45;61,46;0;344788
25,4;65,26;61,42;0;344788
25,39;65,15;61,4;0;344820
25,38;65,02;61,33;0;344976
25,38;65,06;61,27;0;344776
25,38;64,99;61,21;0;344972
25,38;64,98;61,17;0;344944
25,37;64,89;61,13;0;345136
25,37;64,8;61,07;0;345148
25,36;64,74;61,04;0;345004
25,35;64,4;60,96;0;344952
25,34;64,23;60,93;0;344920
25,33;64,04;60,87;0;345200
25,32;63,99;60,79;0;345148
25,33;63,8;60,74;0;345392
25,31;63,66;60,64;0;345304
25,32;63,44;60,61;0;345336
25,31;63,36;60,57;0;345252
25,31;63,24;60,53;0;345336
25,31;63,07;60,48;0;345300
25,31;62,89;60,4;0;345476
25,31;62,72;60,37;0;345504
25,3;62,66;60,32;0;345432
25,31;62,54;60,28;0;345452
25,31;62,43;60,24;0;345484
25,31;62,28;60,16;0;345520
25,3;62,19;60,13;0;345344
25,3;62,13;60,06;0;345292
25,3;62,08;60,01;0;345288
25,29;61,98;59,94;0;345260
25,28;61,89;59,91;0;345280
25,28;61,78;59,84;0;345204
25,27;61,75;59,76;0;345240
25,27;61,64;59,66;0;345324
25,25;61,57;59,66;0;345208
25,25;61,44;59,57;0;345308
25,25;61,39;59,54;0;345420
25,25;61,5;59,48;0;345324
25,24;61,51;59,46;0;345280
25,24;61,42;59,4;0;345284
25,24;61,36;59,3;0;345528
25,23;61,28;59,19;0;345624
25,23;61,11;59,17;0;345532
25,22;61,01;59,13;0;345600
25,21;61,01;59,1;0;345628
25,2;60,94;58,99;0;345500
25,2;60,75;58,93;0;345728
25,19;60,71;58,83;0;345724
25,19;60,45;58,78;0;345640
25,18;60,26;58,66;0;345452
25,18;60,15;58,63;0;345356
25,17;59,95;58,57;0;345392
25,15;59,84;58,52;0;345344
25,15;59,82;58,49;0;345308
25,15;59,7;58,42;0;345264
25,14;59,61;58,36;0;345308
25,16;59,5;58,27;0;345352
25,16;59,43;58,2;0;345436
25,16;59,38;58,18;0;345328
25,16;59,31;58,13;0;345436
25,16;59,25;58,04;0;345472
25,17;59,19;57,95;0;345384
25,17;59,17;57,9;0;345452
25,18;59,12;57,83;0;345536
25,18;59,01;57,78;0;345480
25,18;58,96;57,73;0;345500
25,19;58,9;57,69;0;345440
25,19;58,83;57,65;0;345472
25,2;58,78;57,6;0;345512
25,21;58,71;57,56;0;345616
25,21;58,65;57,5;0;345564
25,22;58,55;57,44;0;345648
25,21;58,73;57,38;0;345740
25,22;58,61;57,34;0;345628
25,21;58,6;57,32;0;345516
25,23;58,56;57,25;0;345640
25,23;58,49;57,2;0;345808
25,24;58,45;57,11;0;346088
25,24;58,39;57,04;0;346272
25,24;58,4;56,99;0;346284
25,24;58,41;56,92;0;346420
25,23;58,37;56,82;0;346164
25,24;58,38;56,83;0;346272
25,23;58,33;56,77;0;346252
25,24;58,27;56,69;0;346216
25,24;58,18;56,66;0;346008
25,24;58,07;56,6;0;345932
25,25;57,96;56,58;0;345764
25,25;57,86;56,54;0;345700
25,26;57,81;56,52;0;345580
25,26;57,73;56,46;0;345396
25,26;57,67;56,45;0;345480
25,27;57,6;56,42;0;345292
25,27;57,55;56,35;0;345192
25,27;57,44;56,28;0;344832
25,28;57,36;56,26;0;344636
25,28;57,34;56,23;0;344600
25,29;57,31;56,14;0;344508
25,29;57,44;56,1;0;344760
25,3;57,29;56,07;0;344636
25,3;57,15;56,01;0;344564
25,3;57,05;55,93;0;344340
25,31;56,98;55,88;0;344352
25,31;56,97;55,82;0;344428
25,32;56,92;55,76;0;344300
25,33;56,9;55,72;0;344260
25,33;56,83;55,7;0;344260
25,33;56,83;55,63;0;344332
25,34;56,75;55,59;0;344356
25,35;56,83;55,51;0;344452
25,35;56,93;55,49;0;344428
25,35;56,84;55,44;0;344436
25,36;56,84;55,38;0;344620
25,36;56,91;55,34;0;344668
25,37;56,87;55,25;0;344924
25,37;56,87;55,16;0;345332
25,38;56,88;55,14;0;345144
25,38;56,82;55,02;0;345652
25,39;56,45;55,02;0;345440
25,39;56,44;54,94;0;345880
25,4;56,45;54,86;0;345872
25,41;56,22;54,79;0;345896
25,41;56,03;54,81;0;345808
25,42;55,85;54,73;0;346112
25,42;55,72;54,68;0;345780
25,43;55,62;54,66;0;345644
25,44;55,55;54,63;0;345576
25,44;55,52;54,6;0;345432
25,45;55,48;54,55;0;345144
25,45;55,46;54,56;0;345072
25,47;55,46;54,49;0;345024
25,47;55,42;54,49;0;344956
25,47;55,38;54,42;0;344740
25,47;55,33;54,37;0;344612
25,48;55,29;54,32;0;344292
25,49;55,23;54,29;0;344288
25,49;55,16;54,25;0;344136
25,5;55,11;54,21;0;344196
25,5;55,07;54,11;0;344088
25,52;54,98;54,06;0;343984
25,52;54,97;54,02;0;344104
25,52;54,89;53,95;0;343904
25,53;54,86;53,94;0;344024
25,53;54,82;53,9;0;343992
25,54;54,77;53,87;0;344024
25,54;54,7;53,81;0;344432
25,55;54,7;53,79;0;344292
25,56;54,63;53,76;0;344616
25,56;54,56;53,73;0;344456
25,56;54,55;53,68;0;344780
25,57;54,53;53,65;0;344976
25,57;54,47;53,6;0;345100
25,58;54,44;53,53;0;345492
25,59;54,62;53,53;0;345296
25,59;54,78;53,44;0;345228
25,6;54,85;53,41;0;345324
25,6;54,87;53,38;0;345252
25,6;54,89;53,35;0;345212
25,59;54,89;53,3;0;345232
25,59;54,87;53,25;0;345024
25,58;54,84;53,23;0;344980
25,59;54,77;53,21;0;344904
25,59;54,78;53,16;0;344848
25,59;54,72;53,11;0;344564
25,59;54,66;53,08;0;344468
25,59;54,6;53,04;0;344604
25,58;54,57;52,98;0;344592
25,58;54,55;52,93;0;344592
25,58;54,49;52,9;0;344572
25,58;54,47;52,87;0;344548
25,58;54,44;52,81;0;344564
25,57;54,39;52,74;0;344928
25,56;54,33;52,69;0;344884
25,56;54,3;52,67;0;345064
25,56;54,25;52,6;0;345356
25,56;54,17;52,55;0;345568
25,55;54,09;52,49;0;345600
25,54;54,08;52,45;0;345608
25,53;54,03;52,48;0;345516
25,53;53,98;52,41;0;345552
25,53;53,94;52,37;0;345476
25,53;53,9;52,33;0;345312
25,53;53,85;52,31;0;345276
25,53;53,77;52,26;0;345356
25,53;53,65;52,21;0;345204
25,52;53,62;52,19;0;345100
25,53;53,56;52,16;0;345208
25,53;53,52;52,11;0;345184
25,52;53,42;52,07;0;345268
25,53;53,37;52,03;0;345648
25,53;53,32;51,96;0;345840
25,53;53,16;51,94;0;346096
25,52;53,17;51,89;0;346152
25,51;53,14;51,84;0;346172
25,52;53,07;51,81;0;346000
25,51;53,04;51,79;0;346300
25,51;53;51,73;0;346356
25,5;52,94;51,66;0;346544
25,5;52,89;51,63;0;346432
25,5;52,86;51,55;0;346404
25,5;52,8;51,52;0;346404
25,49;52,78;51,47;0;346156
25,49;52,76;51,45;0;346352
25,49;52,71;51,39;0;346156
25,49;52,6;51,35;0;345936
25,48;52,61;51,32;0;345944
25,48;52,57;51,27;0;345664
25,49;52,54;51,23;0;345688
25,48;52,5;51,22;0;345528
25,48;52,5;51,2;0;345508
25,48;52,46;51,16;0;345440
25,48;52,47;51,15;0;345376
25,48;52,43;51,07;0;345208
25,47;52,36;51,05;0;345336
25,47;52,36;51,03;0;345112
25,47;52,33;50,99;0;345120
25,47;52,27;50,94;0;345224
25,46;52,25;50,92;0;345212
25,46;52,2;50,82;0;345280
25,45;52,16;50,8;0;345532
25,46;52,12;50,77;0;345484
25,45;52,11;50,75;0;345412
25,46;52,01;50,66;0;345792
25,46;51,99;50,68;0;345564
25,46;52;50,62;0;345664
25,46;51,95;50,57;0;345912
25,47;51,92;50,55;0;345968
25,48;51,87;50,52;0;346024
25,48;51,84;50,47;0;346016
25,47;51,74;50,48;0;345896
25,48;51,71;50,38;0;345880
25,49;51,66;50,37;0;345884
25,49;51,6;50,32;0;345764
25,5;51,61;50,29;0;345836
25,5;51,52;50,21;0;345788
25,5;51,51;50,2;0;345832
25,51;51,49;50,16;0;345800
25,51;51,44;50,12;0;345776
25,52;51,41;50,08;0;345924
25,53;51,39;50,07;0;345928
25,52;51,37;50,05;0;345768
25,52;51,3;49,98;0;345864
25,52;51,29;49,95;0;345768
25,52;51,24;49,89;0;345864
25,51;51,21;49,87;0;345912
25,51;51,16;49,81;0;345976
25,5;51,08;49,78;0;345984
25,49;51,07;49,76;0;346056
25,49;51,07;49,77;0;345872
25,49;50,99;49,69;0;346004
25,48;51,02;49,73;0;346080
25,47;50,98;49,66;0;346024
25,47;50,91;49,62;0;346036
25,48;50,85;49,59;0;345888
25,48;50,82;49,56;0;346028
25,48;50,71;49,5;0;345944
25,48;50,69;49,51;0;346032
25,47;50,69;49,47;0;345912
25,47;50,62;49,42;0;345960
25,47;50,61;49,39;0;346004
25,47;50,56;49,37;0;345984
25,47;50,53;49,28;0;345948
25,46;50,49;49,28;0;345904
25,46;50,46;49,22;0;345816
25,47;50,43;49,21;0;345880
25,47;50,41;49,18;0;345856
25,47;50,36;49,13;0;345816
25,47;50,32;49,11;0;345792
25,47;50,26;49,09;0;345792
25,47;50,22;49,02;0;345720
25,48;50,18;49,01;0;345760
25,49;50,14;48,97;0;345724
25,49;50,11;48,9;0;345816
25,5;50,09;48,88;0;345752
25,5;50,06;48,84;0;345824
25,5;50,03;48,82;0;345720
25,5;49,99;48,76;0;345764
25,51;49,92;48,72;0;345796
25,52;49,9;48,7;0;345732
25,52;49,85;48,66;0;345636
25,52;49,81;48,64;0;345752
25,53;49,76;48,64;0;345736
25,53;49,74;48,59;0;345568
25,53;49,7;48,55;0;345628
25,54;49,66;48,54;0;345652
25,54;49,63;48,46;0;345516
25,54;49,54;48,45;0;345336
25,55;49,48;48,45;0;345368
25,55;49,47;48,39;0;345436
25,56;49,41;48,37;0;345312
25,57;49,42;48,35;0;345300
25,57;49,38;48,31;0;345436
25,57;49,36;48,3;0;345248
25,58;49,28;48,27;0;345216
25,59;49,32;48,26;0;345280
25,59;49,3;48,21;0;345072
25,6;49,25;48,17;0;344960
25,61;49,23;48,13;0;345072
25,61;49,21;48,14;0;345172
25,61;49,13;48,1;0;345096
25,62;49,13;48,04;0;344988
25,63;49,06;48,02;0;344864
25,63;49,03;47,96;0;345076
25,63;48,99;47,96;0;344928
25,64;48,92;47,94;0;345104
25,65;48,92;47,91;0;345052
25,65;48,81;47,88;0;345068
25,66;48,67;47,88;0;345184
25,67;48,57;47,85;0;345376
25,67;48,5;47,79;0;345448
25,67;48,48;47,79;0;345340
25,67;48,5;47,75;0;345420
25,67;48,39;47,75;0;345728
25,67;48,33;47,7;0;345644
25,67;48,37;47,7;0;345604
25,66;48,42;47,64;0;345484
25,66;48,42;47,61;0;345464
25,66;48,41;47,59;0;345548
25,66;48,41;47,57;0;345480
25,66;48,41;47,54;0;345604
25,65;48,4;47,52;0;345476
25,65;48,38;47,49;0;345448
25,65;48,24;47,45;0;345688
25,65;48,16;47,42;0;345620
25,65;48,13;47,4;0;345636
25,65;48,17;47,39;0;345668
25,64;48,15;47,38;0;345612
25,65;48,18;47,35;0;345784
25,65;48,18;47,33;0;345856
25,65;48,14;47,26;0;345800
25,66;48,11;47,25;0;345736
25,66;48,08;47,22;0;345728
25,67;48,06;47,18;0;345800
25,68;48,02;47,16;0;345800
25,68;48,05;47,11;0;345848
25,68;47,98;47,07;0;345648
25,69;47,95;47,05;0;345612
25,69;47,93;47,03;0;345676
25,69;47,92;46,97;0;345660
25,7;47,86;46,97;0;345612
25,7;47,83;46,95;0;345672
25,71;47,8;46,88;0;345632
25,72;47,75;46,85;0;345816
25,72;47,73;46,85;0;345808
25,72;47,7;46,81;0;345848
25,73;47,7;46,8;0;345944
25,73;47,67;46,75;0;346008
25,74;47,64;46,76;0;345864
25,73;47,6;46,68;0;346008
25,75;47,6;46,69;0;346032
25,75;47,6;46,66;0;345936
25,75;47,56;46,62;0;345972
25,75;47,55;46,61;0;345944
25,76;47,52;46,55;0;345952
25,76;47,48;46,51;0;345856
25,77;47,43;46,5;0;345776
25,77;47,46;46,5;0;345728
25,77;47,44;46,49;0;345864
25,76;47,42;46,51;0;345952
25,76;47,41;46,42;0;345768
25,78;47,28;46,4;0;345696
25,79;47,13;46,35;0;345656
25,79;47;46,31;0;345612
25,79;46,82;46,28;0;345800
25,79;46,78;46,26;0;345696
25,8;46,73;46,24;0;345612
25,81;46,66;46,18;0;345612
25,8;46,67;46,17;0;345664
25,81;46,73;46,15;0;345640
25,81;46,73;46,1;0;345604
25,81;46,7;46,1;0;345476
25,82;46,7;46,08;0;345476
25,82;46,67;46,05;0;345656
25,82;46,64;46,04;0;345620
25,83;46,64;46,02;0;345636
25,83;46,61;45,98;0;345500
25,83;46,57;45,98;0;345632
25,83;46,54;45,95;0;345824
25,84;46,52;45,92;0;345984
25,85;46,53;45,92;0;345800
25,84;46,49;45,89;0;345840
25,85;46,5;45,87;0;346024
25,85;46,48;45,86;0;346096
25,85;46,5;45,82;0;345864
25,86;46,47;45,82;0;346084
25,87;46,43;45,78;0;346256
25,87;46,4;45,73;0;346452
25,88;46,4;45,73;0;346344
25,88;46,34;45,71;0;346556
25,89;46,31;45,69;0;346668
25,89;46,3;45,67;0;346504
25,9;46,26;45,65;0;346480
25,91;46,22;45,61;0;346444
25,91;46,2;45,59;0;346468
25,91;46,21;45,56;0;346292
25,92;46,19;45,56;0;346372
25,92;46,18;45,54;0;346332
25,93;46,18;45,49;0;346388
25,94;46,17;45,47;0;346316
25,93;46,14;45,46;0;346300
25,94;46,08;45,43;0;346164
25,95;46,07;45,42;0;346168
25,95;46,01;45,42;0;346128
25,96;45,95;45,38;0;346004
25,97;45,92;45,36;0;345976
25,97;45,87;45,34;0;345896
25,98;45,81;45,31;0;345824
25,99;45,78;45,29;0;345808
25,99;45,74;45,26;0;345768
26;45,71;45,24;0;345656
26;45,66;45,23;0;345776
26;45,6;45,19;0;345816
26,01;45,61;45,17;0;345692
26,01;45,57;45,13;0;345768
26,01;45,56;45,1;0;345636
26,01;45,53;45,11;0;345828
26,02;45,57;45,09;0;345612
26,02;45,52;45,04;0;345820
26,02;45,58;45,06;0;345812
26,03;45,62;45;0;345796
26,03;45,6;44,97;0;345980
26,03;45,6;44,95;0;345812
26,03;45,6;44,95;0;345668
26,03;45,57;44,85;0;346160
26,01;45,58;44,9;0;345964
26;45,54;44,84;0;345936
25,99;45,53;44,81;0;346144
25,99;45,49;44,83;0;345868
25,98;45,52;44,81;0;346004
25,97;45,46;44,74;0;346284
25,98;45,43;44,76;0;346192
25,97;45,44;44,74;0;346096
25,98;45,37;44,71;0;346204
25,98;45,28;44,67;0;346304
25,97;45,23;44,64;0;346228
25,96;45,12;44,64;0;346192
25,96;45,08;44,6;0;346020
25,95;45,02;44,58;0;345968
25,95;44,96;44,56;0;345912
25,95;44,89;44,55;0;345876
25,95;44,87;44,49;0;345780
25,95;44,82;44,48;0;345704
25,96;44,79;44,44;0;345676
25,95;44,76;44,4;0;345644
25,95;44,72;44,39;0;345548
25,96;44,7;44,39;0;345504
25,96;44,66;44,35;0;345528
25,96;44,61;44,35;0;345392
