temp_ambiente,cara_1,cara_2
24.91,55.35,53.73
24.91,55.3,53.68
24.92,55.22,53.62
24.91,55.19,53.55
24.93,55.1,53.45
24.93,55.02,53.33
24.94,54.93,53.24
24.94,54.87,53.17
24.94,54.78,53.08
24.95,54.69,53
24.95,54.59,52.93
24.95,54.53,52.88
24.95,54.46,52.84
24.96,54.36,52.81
24.95,54.31,52.78
24.95,54.21,52.73
24.94,54.13,52.65
24.94,54.04,52.57
24.94,53.97,52.49
24.94,53.89,52.41
24.93,53.8,52.32
24.93,53.74,52.25
24.94,53.59,52.12
24.94,53.51,52.04
24.94,53.4,51.96
24.93,53.33,51.84
24.93,53.21,51.79
24.93,53.13,51.73
24.95,53.03,51.66
24.95,52.91,51.6
24.97,52.84,51.56
24.97,52.76,51.5
24.96,52.68,51.47
24.96,52.57,51.42
24.95,52.51,51.37
24.95,52.44,51.32
24.95,52.37,51.28
24.94,52.36,51.26
24.95,52.27,51.23
24.9,52.47,51.27
24.93,52.15,51.07
24.94,52.04,51
24.94,51.99,50.95
24.95,51.91,50.9
24.95,51.81,50.86
24.94,51.78,50.79
24.93,51.71,50.73
24.93,51.67,50.67
24.93,51.62,50.6
24.93,51.58,50.49
24.93,51.55,50.54
24.9,51.55,50.51
24.93,51.44,50.32
24.93,51.39,50.23
24.94,51.34,50.13
24.94,51.31,50.05
24.94,51.27,49.95
24.95,51.22,49.89
24.96,51.18,49.83
24.97,51.13,49.82
24.98,51.07,49.78
24.99,50.96,49.71
24.99,50.93,49.67
24.99,50.82,49.61
24.99,50.78,49.6
24.98,50.69,49.56
24.99,50.68,49.5
24.99,50.61,49.48
24.99,50.59,49.43
25,50.5,49.38
25,50.41,49.35
24.99,50.35,49.3
24.99,50.31,49.25
24.99,50.24,49.17
25,50.14,49.12
25.01,50.07,49.07
25.01,49.96,49.05
25.02,49.9,49
25.03,49.82,48.97
25.03,49.74,48.93
25.04,49.7,48.89
25.04,49.61,48.88
25.05,49.57,48.86
25.05,49.49,48.79
25.05,49.45,48.73
25.06,49.41,48.7
25.06,49.37,48.66
25.06,49.33,48.59
25.08,49.29,48.51
25.08,49.24,48.41
25.09,49.17,48.36
25.1,49.08,48.3
25.1,49.03,48.2
25.09,48.94,48.15
25.08,48.88,48.09
25.08,48.78,48.05
25.08,48.73,47.96
25.09,48.65,47.93
25.09,48.6,47.87
25.09,48.55,47.84
25.1,48.51,47.81
25.1,48.45,47.76
25.11,48.41,47.73
25.1,48.38,47.68
25.08,48.34,47.65
25.05,48.31,47.61
25.03,48.27,47.57
25.02,48.25,47.53
25.01,48.2,47.51
25.01,48.16,47.46
24.99,48.09,47.48
24.97,48.04,47.44
24.96,48.01,47.46
24.95,47.98,47.42
24.94,47.94,47.39
24.93,47.94,47.37
24.93,47.91,47.33
24.93,47.88,47.29
24.93,47.85,47.25
24.93,47.8,47.21
24.92,47.78,47.17
24.92,47.76,47.13
24.93,47.72,47.05
24.94,47.7,47.01
24.96,47.64,46.98
24.96,47.6,46.93
24.96,47.57,46.87
24.97,47.55,46.82
24.98,47.5,46.8
24.99,47.48,46.73
24.99,47.45,46.69
25.01,47.44,46.67
25.01,47.43,46.58
25.02,47.41,46.52
25.03,47.38,46.5
25.03,47.36,46.45
25.04,47.32,46.38
25.03,47.3,46.32
25.04,47.25,46.28
25.05,47.21,46.23
25.05,47.17,46.15
25.05,47.13,46.1
25.05,47.08,46.06
25.04,47.01,46.02
25.02,46.96,45.97
25,46.88,45.93
24.99,46.85,45.92
25,46.84,45.89
25,46.75,45.85
25,46.71,45.82
25,46.66,45.81
25.01,46.62,45.77
25.01,46.6,45.75
