temp_amb;cara_1;cara_2;corriente;tiempo;diferencia
26,17;99,62;57,93;1,299354668;345680;41,69
26,18;99,73;58,07;1,299354668;345684;41,66
26,18;99,84;58,2;1,300214887;345556;41,64
26,18;99,92;58,3;1,296774025;345660;41,62
26,19;100,05;58,44;1,298494453;345760;41,61
26,19;100,17;58,57;1,296774025;345764;41,6
26,19;100,28;58,7;1,295913811;345904;41,58
26,2;100,38;58,85;1,297634239;345968;41,53
26,2;100,44;58,92;1,296774025;346044;41,52
26,21;100,55;59,05;1,294623489;345812;41,5
26,21;100,69;59,16;1,298064346;345664;41,53
26,22;100,79;59,27;1,296343918;345660;41,52
26,22;100,88;59,39;1,292903061;345416;41,49
26,23;100,97;59,45;1,296774025;345572;41,52
26,24;101,12;59,59;1,294193382;345604;41,53
26,23;101,17;59,68;1,294623489;345572;41,49
26,24;101,3;59,86;1,295053596;345656;41,44
26,24;101,39;59,96;1,292903061;345620;41,43
26,25;101,45;60,11;1,294623489;345812;41,34
26,25;101,6;60,26;1,292472954;345740;41,34
26,25;101,72;60,37;1,292472954;345784;41,35
26,26;101,8;60,52;1,294193382;345584;41,28
26,26;101,94;60,66;1,289892311;345312;41,28
26,26;102,03;60,84;1,293333168;345296;41,19
26,27;102,12;61;1,293763275;345248;41,12
26,27;102,18;61,11;1,287741776;345332;41,07
26,27;102,3;61,27;1,292903061;345384;41,03
26,27;102,36;61,4;1,289032097;345464;40,96
26,28;102,42;61,52;1,290322418;345592;40,9
26,29;102,55;61,64;1,28860199;345604;40,91
26,29;102,71;61,75;1,288171883;345664;40,96
26,29;102,84;61,88;1,289462204;345452;40,96
26,3;102,98;62,05;1,286881561;345396;40,93
26,3;103,13;62,2;1,289892311;345288;40,93
26,3;103,24;62,32;1,289032097;345288;40,92
26,31;103,33;62,45;1,286021347;345260;40,88
26,32;103,44;62,55;1,289032097;345308;40,89
26,32;103,53;62,66;1,286021347;345216;40,87
26,33;103,66;62,82;1,286881561;344716;40,84
26,33;103,76;62,9;1,286021347;344968;40,86
26,34;103,89;63,06;1,287311668;344168;40,83
26,35;103,97;63,12;1,286021347;344104;40,85
26,35;104,06;63,25;1,287741776;344128;40,81
26,36;104,18;63,38;1,28559124;344460;40,8
26,36;104,25;63,49;1,285161133;344612;40,76
26,36;104,31;63,55;1,286021347;344888;40,76
26,37;104,4;63,65;1,283870811;345112;40,75
26,38;104,49;63,79;1,284300919;345256;40,7
26,38;104,62;63,92;1,28258049;345156;40,7
26,38;104,73;64,05;1,28559124;345236;40,68
26,39;104,84;64,14;1,282150383;345132;40,7
26,4;104,97;64,26;1,28559124;344980;40,71
26,39;105,07;64,36;1,283010597;345116;40,71
26,4;105,19;64,44;1,281720276;344988;40,75
26,4;105,28;64,53;1,283010597;345192;40,75
26,4;105,4;64,62;1,281720276;345160;40,78
26,4;105,51;64,72;1,281720276;345104;40,79
26,39;105,63;64,86;1,279569745;345208;40,77
26,39;105,73;64,94;1,281720276;345080;40,79
26,39;105,83;65,03;1,280860062;344996;40,8
26,39;105,92;65,14;1,280860062;344840;40,78
26,39;106,08;65,28;1,281720276;344980;40,8
26,4;106,2;65,37;1,279569745;345116;40,83
26,4;106,26;65,42;1,282150383;345232;40,84
